ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,eu_insider_bonus,market_regime,modelos_dispersion_pts,modelos_acuerdo,upside_triangulated_pct,upside_divergence_pts,upside_divergence,oe_ai_adjustment,oe_ai_verdict,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason,tasa_base_frase,tasa_base_n,tasa_base_caida_mediana_pct,tasa_base_caida_peor_pct,tasa_base_arriba_pct,tasa_base_bimodal,soporte_frase,soporte_nivel,soporte_distancia_pct,soporte_dias,soporte_aguanto,soporte_roto,soporte_antiguo,why_cheap,why_cheap_resumen,why_cheap_fuentes
SAP.DE,SAP SE,73.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,95.0,60.0,50.0,90.0,60.0,,,,,28.5,False,0,9.4,True,1,"{'eps_growth_yoy': 28.5, 'op_growth_yoy': 7.2, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4}","{'revenue_growth_yoy': 9.4, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 18.3, 'debt_to_equity': 0.22, 'current_ratio': 1.15, 'operating_margin_pct': 27.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 11.1}",188.0,216990400512,Technology,Software - Application,,,False,244.3,-23.0,0.0,False,208.92,290.0,160.0,26.0,strong_buy,11.1,164.74,-12.4,66.8,-64.5,4.02,7.56,1.34,37.4,2.5,1.46,True,-1.34,20.7,30.6,33.0,2026-10-21,False,False,8.0,STRONG,4.99,146.7,0.73,36.1,,,,2026-09-18T05:13:23.173660,DAX40,72.2,3.0,0.0,3.0,5.0,1.39,15.0,CONFIRMED_UPTREND,52.1,DISPERSOS,-12.4,49.6,ALTA,0,,False,2,0.922,False,-23.95,43.29,14.58,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 10 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 10% de mediana (peor caso -30%); al año el 60% estaba en positivo (mediana +6%).",10,-10.2,-30.0,60,False,"soporte vivo más cercano en 175.81 (-3.8%), puesto a prueba hace 12 días; aguantó 2 de 2 veces",175.81,-3.8,12.0,2.0,0.0,False,,,
AZN.L,AstraZeneca PLC,62.2,⭐⭐ GOOD,🟡 Good,GBp,USD,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (6,044,000,000) se aparta del derivado de flujo operativo menos capex (4,342",70.0,60.0,50.0,65.0,65.0,,,,,2.3,False,0,6.4,True,1,"{'eps_growth_yoy': 2.3, 'op_growth_yoy': -9.8, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 17.0}","{'revenue_growth_yoy': 6.4, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 22.0, 'debt_to_equity': 0.64, 'current_ratio': 0.89, 'operating_margin_pct': 23.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 26.7}",12428.0,192744095744,Healthcare,Drug Manufacturers - General,,,False,15732.0,-21.0,0.0,False,15749.09,20434.65,11366.25,23.0,buy,26.7,,,,,2.25,279.63,1.97,47.4,239.0,2.06,False,,8.2,2.5,42.0,2026-10-30,False,False,8.0,STRONG,6.36,95.3,5.83,24.2,,,,2026-09-18T05:14:54.821608,FTSE100,65.9,0.0,5.0,0.0,1.0,3.34,15.0,CONFIRMED_UPTREND,,,,,,0,,False,1,0.664,False,-19.53,27.97,-19.78,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 17 veces anteriores (RSI normal, bajo su MA200 que baja) cayó otro 6% de mediana (peor caso -17%); al año el 82% estaba en positivo (mediana +18%).",17,-6.1,-16.6,82,False,"soporte vivo más cercano en 12639.16 (-0.1%), puesto a prueba hace 54 días; aguantó 3 y se rompió 1",12639.16,-0.1,54.0,3.0,1.0,False,EVENTO,Caída causada por fracaso de conversaciones de fusión con Bristol-Myers Squibb (agosto 2026) y fallos en ensayos clínicos (Ultomiris no cumplió objetivo principal). Los resultados Q2 superaron expectativas y guidance se mantiene; negocio operativo aguanta.,https://www.bloomberglinea.com/quote/AZN:UN/ | https://www.rava.com/perfil/AZN | https://theofficer.es/las-acciones-de-astrazeneca-se-desploman-688-y-cierran-en-15797-dolares/ | https://theofficer.es/las-acciones-de-astrazeneca-bajan-194-y-cierran-en-17875-dolares/
ULVR.L,Unilever PLC,53.8,⭐ AVERAGE,🟡 Average,GBp,EUR,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",55.0,50.0,50.0,65.0,50.0,,,,,,,0,,,0,{'profit_margin_pct': 18.3},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 31.9, 'debt_to_equity': 1.75, 'current_ratio': 0.74, 'operating_margin_pct': 20.3}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 14.0}",4632.5,99749978112,Consumer Defensive,Household & Personal Products,,,False,5542.11,-16.4,0.0,False,5279.21,6034.19,3922.2,15.0,hold,14.0,,,,,5.84,270.54,3.56,76.1,165.0,3.57,,,,-2.2,144.0,2027-02-09,False,False,7.0,NEUTRAL,7.65,108.9,,18.8,,,,2026-09-18T05:14:52.744342,FTSE100,62.5,6.0,0.0,0.0,0.0,1.75,15.0,CONFIRMED_UPTREND,,,,,,0,,False,1,0.711,False,-15.84,27.97,-9.06,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 13 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 7% de mediana (peor caso -24%); al año el 62% estaba en positivo (mediana +6%).",13,-7.1,-23.5,62,False,"soporte vivo más cercano en 4616.71 (-1.0%), puesto a prueba hace 15 días; aguantó 6 y se rompió 1",4616.71,-1.0,15.0,6.0,1.0,False,SENTIMIENTO,"<cite index=""5-1"">Unilever ha mostrado una caída del -20.18% en el último año</cite>, pero <cite index=""15-1,15-2"">entregó un sólido desempeño impulsado por volumen en el primer semestre de 2026, con crecimiento de ventas del 4.8%, siendo 4.2% por volumen</cite>. <cite index=""15-14"">Tras este desemp",https://es.tradingview.com/symbols/LSE-ULVR/ | https://www.investing.com/equities/unilever-ord | https://www.stockopedia.com/share-prices/unilever-LON:ULVR/news/ | https://global.morningstar.com/es/inversiones/acciones/0P00007P0W/cotizacion?bolsa=XLON&ticker=ULVR
WKL.AS,Wolters Kluwer N.V.,54.5,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,60.0,50.0,50.0,50.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 21.9},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 146.1, 'debt_to_equity': 5.9, 'current_ratio': 0.69, 'operating_margin_pct': 26.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 28.6}",70.08,15597456384,Industrials,Specialty Business Services,,,False,117.35,-40.3,0.0,False,90.09,120.0,54.0,16.0,buy,28.6,118.76,69.5,58.5,-16.5,8.89,6.23,3.78,43.0,2.6,1.88,,,,8.9,159.0,2027-02-24,False,False,7.0,NEUTRAL,8.97,668.9,1.27,35.9,,,,2026-09-18T05:12:22.848315,AEX25,60.8,8.0,8.0,0.0,3.0,3.58,0.0,CONFIRMED_UPTREND,86.0,CONTRADICEN,,45.1,ALTA,0,,False,2,0.885,False,-39.54,25.96,0.33,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 5 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 1% de mediana (peor caso -61%); al año el 80% estaba en positivo (mediana +19%).",5,-1.3,-61.3,80,False,"soporte vivo más cercano en 66.62 (-1.5%), puesto a prueba hace 0 días; aguantó 8 y se rompió 1",66.62,-1.5,0.0,8.0,1.0,False,,,
SGE.L,The Sage Group plc,52.5,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (632,249,984) se aparta del derivado de flujo operativo menos capex (471,000",55.0,50.0,50.0,50.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 14.6},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 75.6, 'debt_to_equity': 9.19, 'current_ratio': 0.62, 'operating_margin_pct': 22.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 9.4}",1034.0,9291853824,Technology,Software - Application,,,False,1181.0,-12.4,0.0,False,1131.06,1400.0,850.0,18.0,buy,9.4,,,,,5.07,52.42,2.22,55.0,22.0,2.09,,,,14.3,62.0,2026-11-19,False,False,6.0,NEUTRAL,4.86,374.3,1.26,34.3,,,,2026-09-18T05:13:52.505902,FTSE100,59.0,6.0,5.0,0.0,3.0,1.18,15.0,CONFIRMED_UPTREND,,,,,,0,,False,2,0.973,False,-14.29,31.16,11.74,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 12 veces anteriores (RSI normal, sobre su MA200 que baja) o paró casi donde estaba o se desplomó hasta -23% — sin término medio; al año el 58% estaba en positivo (mediana +7%).",12,-10.2,-23.0,58,True,"soporte vivo más cercano en 1010.50 (-0.1%), puesto a prueba hace 14 días; aguantó 3 y se rompió 2",1010.5,-0.1,14.0,3.0,2.0,False,SENTIMIENTO,"<cite index=""8-10"">Sage es valuada como un nombre de software maduro en lugar de una historia de revaluación de crecimiento rápido</cite>. <cite index=""16-3,16-4"">La compañía reportó crecimiento robusto en H1 FY2026 con márgenes operativos en expansión y guidance de crecimiento por encima del 9%</ci",https://www.stockopedia.com/share-prices/sage-group-LON:SGE/ | https://www.stockopedia.com/share-prices/sage-LON:SGE/ | https://finance.yahoo.com/quote/SGE.L/history/ | https://finance.yahoo.com/markets/stocks/articles/sage-group-lse-sge-stock-120719837.html
LR.PA,Legrand SA,77.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,90.0,90.0,50.0,75.0,65.0,,,,,23.9,True,1,25.7,True,2,"{'eps_growth_yoy': 23.9, 'op_growth_yoy': 25.6, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 13.0}","{'revenue_growth_yoy': 25.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 18.2, 'debt_to_equity': 1.03, 'current_ratio': 1.58, 'operating_margin_pct': 19.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 22.1}",136.3,35726086144,Industrials,Electrical Equipment & Parts,,,False,166.95,-18.4,0.0,False,166.44,200.0,114.0,18.0,buy,22.1,86.04,-36.9,49.7,-63.5,3.69,5.03,1.76,47.9,2.38,1.92,True,-0.31,11.3,5.9,48.0,2026-11-05,False,False,6.0,NEUTRAL,4.48,45.7,2.36,38.1,,,,2026-09-18T05:13:35.824478,CAC40,58.9,3.0,5.0,3.0,3.0,2.76,0.0,CONFIRMED_UPTREND,26.6,DISPERSOS,-36.9,72.3,ALTA,0,,False,2,1.071,False,-14.69,16.79,-9.32,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación,"las 46 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 7% de mediana (peor caso -33%); al año el 83% estaba en positivo (mediana +11%).",46,-7.1,-32.8,83,False,"soporte vivo más cercano en 138.65 (-1.1%), puesto a prueba hace 13 días; aguantó 1 y se rompió 4",138.65,-1.1,13.0,1.0,4.0,False,,,
ASSA-B.ST,ASSA ABLOY AB (publ),72.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,SEK,SEK,False,True,False,0.9482,"acciones × precio no cuadra con la capitalización (ratio 0.9482): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",100.0,60.0,50.0,70.0,65.0,,,,,80.4,True,1,3.5,True,1,"{'eps_growth_yoy': 80.4, 'op_growth_yoy': 53.9, 'crecimiento_respaldado': False, 'crecimiento_puntuado': 78.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.8}","{'revenue_growth_yoy': 3.5, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 15.6, 'debt_to_equity': 0.64, 'current_ratio': 1.01, 'operating_margin_pct': 16.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 18.0}",346.1,384439681024,Industrials,Security & Protection Services,,,False,396.9,-12.8,0.0,False,408.38,500.0,340.0,21.0,buy,18.0,,,,,5.51,19.07,1.86,41.7,6.4,1.7,False,,,15.9,39.0,2026-10-27,False,False,8.0,STRONG,5.12,118.2,1.42,15.7,,,,2026-09-18T05:13:09.073162,OMXSTO,58.8,6.0,5.0,0.0,5.0,2.25,0.0,CONFIRMED_UPTREND,,,,,,0,,False,2,1.148,False,-9.27,14.69,-2.28,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 13 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 11% de mediana (peor caso -23%); al año el 77% estaba en positivo (mediana +11%).",13,-11.2,-22.6,77,False,"soporte vivo más cercano en 352.15 (-1.3%), puesto a prueba hace 39 días; aguantó 2 y se rompió 3",352.15,-1.3,39.0,2.0,3.0,False,,,
DSY.PA,Dassault Systèmes SE,74.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,100.0,60.0,50.0,85.0,65.0,,,,,42.9,True,1,2.1,True,1,"{'eps_growth_yoy': 42.9, 'op_growth_yoy': 47.3, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 21.3}","{'revenue_growth_yoy': 2.1, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 15.1, 'debt_to_equity': 0.36, 'current_ratio': 1.99, 'operating_margin_pct': 23.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 15.2}",20.58,27043231744,Technology,Software - Application,,,False,30.36,-32.2,0.0,False,23.71,33.35,17.0,19.0,buy,15.2,24.15,17.3,9.7,-52.9,5.77,1.19,1.29,27.8,0.27,0.67,True,-0.66,,12.7,40.0,2026-10-28,False,False,8.0,STRONG,6.01,42.9,0.46,35.3,,,,2026-09-18T05:13:48.386613,CAC40,58.7,6.0,0.0,3.0,3.0,1.9,0.0,CONFIRMED_UPTREND,70.2,CONTRADICEN,,68.1,ALTA,0,,False,2,0.93,False,-29.83,34.62,14.98,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 9 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 7% de mediana (peor caso -34%); al año el 78% estaba en positivo (mediana +16%).",9,-7.1,-33.8,78,False,"soporte vivo más cercano en 20.81 (-1.0%), puesto a prueba hace 18 días; aguantó 1 y se rompió 1",20.81,-1.0,18.0,1.0,1.0,False,,,
ITX.MC,"Industria de Diseño Textil, S.A.",78.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,90.0,90.0,50.0,85.0,65.0,,,,,23.0,True,1,33.0,True,1,"{'eps_growth_yoy': 23.0, 'op_growth_yoy': 27.2, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.5}","{'revenue_growth_yoy': 33.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 36.8, 'debt_to_equity': 0.35, 'current_ratio': 1.16, 'operating_margin_pct': 18.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 15.6}",52.4,163226484736,Consumer Cyclical,Apparel Retail,,,False,59.42,-11.8,0.0,False,60.55,67.0,41.5,24.0,buy,15.6,47.93,-8.5,20.5,-60.9,4.73,2.48,1.23,56.7,0.65,2.09,,,38.5,8.0,,,False,False,7.0,NEUTRAL,5.28,37.8,2.76,21.7,,,,2026-09-18T05:13:33.550277,IBEX35,57.5,3.0,0.0,0.0,3.0,1.95,0.0,CONFIRMED_UPTREND,52.4,DISPERSOS,-8.5,50.3,ALTA,0,,False,1,0.936,False,-12.55,21.18,-7.03,sideways,stage4_ma_alcista,ESPERAR,"Ha perdido la MA200, aunque la media sigue subiendo — corrección dentro de tendencia, espera a que la recupere","las 8 veces anteriores (sobrevendido (RSI<25), bajo su MA200 que sube) o paró casi donde estaba o se desplomó hasta -29% — sin término medio; al año el 50% estaba en positivo (mediana +5%).",8,-11.8,-29.1,50,True,"soporte vivo más cercano en 51.48 (-0.9%), puesto a prueba hace 4 días; aguantó 1 y se rompió 3",51.48,-0.9,4.0,1.0,3.0,False,,,
AMS.MC,"Amadeus IT Group, S.A.",54.5,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,50.0,50.0,50.0,70.0,65.0,,,,,-7.6,False,0,1.5,False,0,"{'eps_growth_yoy': -7.6, 'op_growth_yoy': 0.5, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 19.9}","{'revenue_growth_yoy': 1.5, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 26.5, 'debt_to_equity': 0.79, 'current_ratio': 0.74, 'operating_margin_pct': 28.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 23.9}",55.76,23418456064,Technology,Information Technology Services,,,False,69.3,-19.5,0.0,False,69.06,82.0,51.0,22.0,buy,23.9,59.72,7.1,30.3,-45.7,5.9,3.29,2.78,50.8,1.54,1.73,True,-6.17,20.4,-2.6,49.0,2026-11-06,False,False,7.0,NEUTRAL,6.91,473.7,,27.7,,,,2026-09-18T05:13:00.352706,IBEX35,55.8,6.0,5.0,3.0,0.0,2.99,0.0,CONFIRMED_UPTREND,52.8,CONTRADICEN,,69.6,ALTA,0,,False,2,0.914,False,-17.76,22.31,-0.42,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 10 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 12% de mediana (peor caso -48%); al año el 60% estaba en positivo (mediana +6%).",10,-11.6,-47.5,60,False,"soporte vivo más cercano en 53.94 (-2.6%), puesto a prueba hace 13 días; aguantó 2 y se rompió 1",53.94,-2.6,13.0,2.0,1.0,False,,,
