ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,eu_insider_bonus,market_regime,upside_triangulated_pct,upside_divergence_pts,upside_divergence,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing,oe_ai_adjustment,oe_ai_verdict,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
SAP.DE,SAP SE,73.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,95.0,60.0,50.0,90.0,60.0,,,,,28.5,False,0,9.4,True,1,"{'eps_growth_yoy': 28.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4}","{'revenue_growth_yoy': 9.4, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 18.3, 'debt_to_equity': 0.22, 'current_ratio': 1.15, 'operating_margin_pct': 27.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 11.5}",186.26,214982082560,Technology,Software - Application,,,False,244.3,-23.8,0,False,207.77,290.0,160.0,26,strong_buy,11.5,334.01,79.3,200.4,7.6,4.23,7.88,1.41,37.4,2.5,1.46,True,-1.35,20.7,30.6,36.0,2026-10-21,False,False,8,STRONG,5.03,146.7,0.73,33.3,,,,2026-09-15T05:18:42.525433,DAX40,72.2,3.0,0.0,3.0,5.0,1.44,15.0,CONFIRMED_UPTREND,11.5,-31.9,,175.6,168.72,,3.92,,"CAUTION - Already above entry point, wait for pullback",0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
SGE.L,The Sage Group plc,52.5,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (632,249,984) se aparta del derivado de flujo operativo menos capex (471,000",55.0,50.0,50.0,50.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 14.6},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 75.6, 'debt_to_equity': 9.19, 'current_ratio': 0.62, 'operating_margin_pct': 22.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 11.1}",1008.5,9062703104,Technology,Software - Application,,,False,1181.0,-14.6,0,False,1119.94,1349.0,850.0,18,buy,11.1,,,,,6.98,0.7,2.34,55.0,22.0,2.09,,,,14.3,65.0,2026-11-19,False,False,6,NEUTRAL,4.97,374.3,1.23,33.5,,,,2026-09-15T05:19:14.309546,FTSE100,67.0,6.0,5.0,0.0,3.0,1.39,15.0,CONFIRMED_UPTREND,,,,975.94,937.66,,3.92,,"CAUTION - Already above entry point, wait for pullback",0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
AMS.MC,"Amadeus IT Group, S.A.",54.5,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,"FCF declarado (2,912,250,112) se aparta del derivado de flujo operativo menos capex (1,380,799,936)",50.0,50.0,50.0,70.0,65.0,,,,,-7.6,False,0,1.5,False,0,"{'eps_growth_yoy': -7.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 19.9}","{'revenue_growth_yoy': 1.5, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 26.5, 'debt_to_equity': 0.79, 'current_ratio': 0.74, 'operating_margin_pct': 28.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 24.4}",55.02,23107667968,Technology,Information Technology Services,,,False,69.3,-20.6,0,False,68.45,82.0,51.0,22,buy,24.4,102.03,85.4,30.3,-44.9,12.6,6.93,2.84,50.8,1.54,1.73,True,-6.25,20.4,-2.6,52.0,2026-11-06,False,False,7,NEUTRAL,6.99,473.7,,25.9,,,,2026-09-15T05:18:19.099122,IBEX35,57.8,8.0,5.0,3.0,0.0,3.05,0.0,CONFIRMED_UPTREND,24.4,4.1,,54.77,52.63,,3.92,,"CAUTION - Already above entry point, wait for pullback",0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
DSY.PA,Dassault Systèmes SE,73.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,100.0,60.0,50.0,85.0,60.0,,,,,42.9,True,1,2.1,True,1,"{'eps_growth_yoy': 42.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 21.3}","{'revenue_growth_yoy': 2.1, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 15.1, 'debt_to_equity': 0.36, 'current_ratio': 1.99, 'operating_margin_pct': 23.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 11.6}",21.25,27923648512,Technology,Software - Application,,,False,30.36,-30.0,0,False,23.71,33.35,17.0,19,buy,11.6,40.89,92.4,29.1,36.9,4.54,0.96,1.33,27.8,0.27,0.67,True,-0.64,,22.3,43.0,2026-10-28,False,False,8,STRONG,5.8,42.9,0.48,34.5,,,,2026-09-15T05:19:09.677129,CAC40,57.5,3.0,0.0,3.0,5.0,1.45,0.0,CONFIRMED_UPTREND,36.9,-53.0,,20.29,19.5,,3.92,,"CAUTION - Already above entry point, wait for pullback",0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
ITX.MC,"Industria de Diseño Textil, S.A.",78.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,90.0,90.0,50.0,85.0,60.0,,,,,23.0,True,1,33.0,True,1,"{'eps_growth_yoy': 23.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.5}","{'revenue_growth_yoy': 33.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 36.8, 'debt_to_equity': 0.35, 'current_ratio': 1.16, 'operating_margin_pct': 18.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 12.9}",53.72,167338295296,Consumer Cyclical,Apparel Retail,,,False,59.42,-9.6,0,False,60.65,67.0,41.5,24,buy,12.9,37.82,-29.6,20.5,-61.8,3.88,2.08,1.2,56.7,0.65,2.09,,,38.5,8.0,,,False,False,7,NEUTRAL,5.14,37.8,2.83,22.3,,,,2026-09-15T05:18:53.834213,IBEX35,57.3,3.0,0.0,0.0,3.0,1.61,0.0,CONFIRMED_UPTREND,-29.6,58.6,ALTA,54.67,52.53,,3.92,,"CAUTION - Already above entry point, wait for pullback",0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
RACE.MI,Ferrari N.V.,75.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,"FCF declarado (1,001,981,760) se aparta del derivado de flujo operativo menos capex (1,463,988,912)",95.0,70.0,50.0,90.0,60.0,,,,,9.0,True,2,8.4,True,2,"{'eps_growth_yoy': 9.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2}","{'revenue_growth_yoy': 8.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 45.4, 'debt_to_equity': 0.86, 'current_ratio': 2.43, 'operating_margin_pct': 31.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.3}",352.15,61856010240,Consumer Cyclical,Auto Manufacturers,,,False,431.2,-18.3,0,False,388.39,430.4,330.0,19,buy,10.3,112.92,-67.9,93.53,-73.4,1.62,5.7,1.01,39.0,3.62,0.68,True,-1.29,63.9,10.1,49.0,2026-11-03,False,False,9,STRONG,3.3,46.9,3.16,20.8,,,,2026-09-15T05:18:44.902082,FTSEMIB,56.2,0.0,0.0,3.0,3.0,1.29,0.0,CONFIRMED_UPTREND,-67.9,81.0,ALTA,351.29,337.51,,3.92,,"CAUTION - Already above entry point, wait for pullback",0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
ASSA-B.ST,ASSA ABLOY AB (publ),72.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,SEK,SEK,False,True,False,0.9482,"acciones × precio no cuadra con la capitalización (ratio 0.9482): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",100.0,60.0,50.0,70.0,65.0,,,,,80.4,True,1,3.5,True,1,"{'eps_growth_yoy': 80.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.8}","{'revenue_growth_yoy': 3.5, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 15.6, 'debt_to_equity': 0.64, 'current_ratio': 1.01, 'operating_margin_pct': 16.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 19.4}",341.6,379441184768,Industrials,Security & Protection Services,,,False,396.9,-13.9,0,False,407.9,500.0,340.0,21,buy,19.4,,,,,4.85,17.47,1.88,41.7,6.4,1.7,False,,,15.9,42.0,2026-10-27,False,False,8,STRONG,5.17,118.2,1.4,17.0,,,,2026-09-15T05:18:27.923846,OMXSTO,55.8,3.0,5.0,0.0,5.0,2.42,0.0,CONFIRMED_UPTREND,,,,344.45,330.95,,3.92,,"CAUTION - Already above entry point, wait for pullback",0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
NOVO-B.CO,Novo Nordisk A/S,54.5,⭐ AVERAGE,🟡 Average,DKK,DKK,False,True,False,0.7568,"acciones × precio no cuadra con la capitalización (ratio 0.7568): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",55.0,50.0,50.0,70.0,50.0,,,,,-20.8,False,0,2.1,False,0,"{'eps_growth_yoy': -20.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 35.3}","{'revenue_growth_yoy': 2.1, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 59.8, 'debt_to_equity': 0.63, 'current_ratio': 0.87, 'operating_margin_pct': 42.5}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 10.6}",280.4,1239066607616,Healthcare,Drug Manufacturers - General,,,False,409.95,-31.6,0,False,310.17,457.0,203.0,23,hold,10.6,,,,,3.04,11.27,4.23,44.6,11.7,1.93,True,-0.48,252.0,-8.2,50.0,2026-11-04,False,False,5,NEUTRAL,10.08,64.7,,25.9,,,,2026-09-15T05:17:54.865155,OMXCPH,55.8,3.0,8.0,3.0,0.0,1.32,0.0,CONFIRMED_UPTREND,,,,281.01,269.99,,3.92,,"CAUTION - Already above entry point, wait for pullback",0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
AUTO.L,Autotrader Group plc,59.0,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",60.0,50.0,50.0,90.0,50.0,,,,,,,0,,,0,{'profit_margin_pct': 47.1},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 60.2, 'debt_to_equity': 0.52, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 11.8}",501.0,3894077952,Communication Services,Internet Content & Information,,,False,828.8,-39.6,0,False,560.16,800.0,410.0,19,hold,11.8,,,,,6.26,0.31,2.37,32.0,12.0,1.38,,,,2.0,51.0,2026-11-05,False,False,5,NEUTRAL,9.25,332.4,2.24,33.4,,,,2026-09-15T05:18:36.343126,FTSE100,47.6,6.0,5.0,0.0,1.0,1.48,0.0,CONFIRMED_UPTREND,,,,491.03,471.77,,3.92,,"CAUTION - Already above entry point, wait for pullback",-8,RELIABLE/AVOID (-8),False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
WKL.AS,Wolters Kluwer N.V.,54.5,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,60.0,50.0,50.0,50.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 21.9},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 146.1, 'debt_to_equity': 5.9, 'current_ratio': 0.69, 'operating_margin_pct': 26.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 27.4}",70.72,15741378560,Industrials,Specialty Business Services,,,False,117.35,-39.7,0,False,90.09,120.0,54.0,16,buy,27.4,105.65,49.4,58.6,-17.1,7.93,5.61,3.93,43.0,2.6,1.88,,,,8.9,162.0,2027-02-24,False,False,7,NEUTRAL,8.9,668.9,1.28,27.6,,,,2026-09-15T05:17:37.872298,AEX25,53.8,6.0,8.0,0.0,3.0,3.42,0.0,CONFIRMED_UPTREND,27.4,11.2,,66.16,63.56,,3.92,,"CAUTION - Already above entry point, wait for pullback",0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
